"Model","MMBench_DEV_EN_V11","MSR_Bench","MSR_Bench - 位置关系 cam-cam","MSR_Bench - 位置关系 cam-object","MSR_Bench - 位置关系 cam-scene","MSR_Bench - 位置关系 object-object","MSR_Bench - 位置关系 object-scene","MSR_Bench - 位置关系 scene-scene","MSR_Bench - 几何属性 measurement","MSR_Bench - 几何属性 shape","MSR_Bench - 多步推理","MSR_Bench - 运动感知 camera","MSR_Bench - 运动感知 object","MSR_Bench_Circular","MSR_Bench_Circular - 位置关系 cam-cam","MSR_Bench_Circular - 位置关系 cam-object","MSR_Bench_Circular - 位置关系 cam-scene","MSR_Bench_Circular - 位置关系 object-object","MSR_Bench_Circular - 位置关系 object-scene","MSR_Bench_Circular - 位置关系 scene-scene","MSR_Bench_Circular - 几何属性 measurement","MSR_Bench_Circular - 几何属性 shape","MSR_Bench_Circular - 多步推理","MSR_Bench_Circular - 运动感知 camera","MSR_Bench_Circular - 运动感知 object"
"InternVL2_5-1B","69.96904024767801","26.1","23.655913978494624","25.581395348837212","25.301204819277107","26.595744680851062","31.76470588235294","24.691358024691358","31.25","30.303030303030305","26.262626262626267","17.56756756756757","25.0","4.7","5.3763440860215","5.81395348837209","1.20481927710843","5.31914893617021","8.23529411764705","2.46913580246913","9.375","1.51515151515151","3.03030303030303","2.7027027027027","9.21052631578947"
"InternVL2_5-2B","74.61300309597523","28.999999999999996","27.956989247311824","37.2093023255814","36.144578313253014","27.659574468085108","29.411764705882355","24.691358024691358","43.75","15.151515151515152","26.767676767676768","21.62162162162162","31.57894736842105","10.0","5.3763440860215","15.11627906976744","7.228915662650599","8.51063829787234","15.294117647058819","7.4074074074074","23.4375","3.03030303030303","6.06060606060606","9.45945945945946","17.10526315789473"
"InternVL2_5-4B","80.6501547987616","26.3","31.182795698924732","31.3953488372093","25.301204819277107","23.404255319148938","34.11764705882353","20.98765432098765","23.4375","24.242424242424242","26.767676767676768","13.513513513513514","31.57894736842105","6.3","5.3763440860215","10.46511627906976","3.6144578313252995","5.31914893617021","7.05882352941176","3.7037037037037","6.25","4.54545454545454","6.06060606060606","6.75675675675675","10.52631578947368"
"InternVL2_5-8B","83.6687306501548","28.7","32.25806451612903","32.55813953488372","32.53012048192771","27.659574468085108","24.705882352941178","29.629629629629626","26.5625","27.27272727272727","30.303030303030305","16.216216216216218","31.57894736842105","5.2","4.3010752688172","12.790697674418599","2.40963855421686","7.446808510638291","5.88235294117647","2.46913580246913","3.125","1.51515151515151","4.54545454545454","4.05405405405405","7.89473684210526"
"InternVL2_5-26B","85.8359133126935","28.000000000000004","24.731182795698924","33.72093023255814","37.34939759036144","19.148936170212767","31.76470588235294","29.629629629629626","35.9375","30.303030303030305","26.767676767676768","10.81081081081081","31.57894736842105","12.1","6.451612903225799","22.09302325581395","15.66265060240964","8.51063829787234","20.0","11.11111111111111","21.875","7.575757575757571","7.07070707070707","6.75675675675675","14.473684210526311"
"InternVL2_5-38B","87.77089783281734","27.900000000000002","18.27956989247312","22.093023255813954","34.93975903614458","22.340425531914892","38.82352941176471","35.80246913580247","37.5","25.757575757575758","25.252525252525253","14.864864864864865","38.15789473684211","9.9","3.2258064516128995","9.30232558139534","13.253012048192769","7.446808510638291","16.47058823529411","9.876543209876539","15.625","9.09090909090909","5.55555555555555","10.81081081081081","17.10526315789473"
"InternVL2_5-78B","88.62229102167183","28.499999999999996","23.655913978494624","29.069767441860467","42.168674698795186","22.340425531914892","31.76470588235294","39.50617283950617","35.9375","19.696969696969695","27.27272727272727","17.56756756756757","26.31578947368421","12.2","11.82795698924731","9.30232558139534","14.457831325301198","13.82978723404255","11.76470588235294","13.58024691358024","17.1875","7.575757575757571","11.61616161616161","6.75675675675675","17.10526315789473"
"InternVL3-1B","71.43962848297214","27.0","24.731182795698924","30.23255813953488","30.120481927710845","35.1063829787234","29.411764705882355","22.22222222222222","32.8125","28.78787878787879","26.262626262626267","17.56756756756757","19.736842105263158","5.0","1.0752688172043","9.30232558139534","3.6144578313252995","9.57446808510638","7.05882352941176","2.46913580246913","14.0625","1.51515151515151","2.52525252525252","4.05405405405405","3.94736842105263"
"InternVL3-2B","79.95356037151703","25.3","26.881720430107524","31.3953488372093","27.710843373493976","25.53191489361702","28.235294117647058","29.629629629629626","26.5625","22.727272727272727","23.737373737373737","12.162162162162163","23.684210526315788","7.3","5.3763440860215","8.139534883720929","7.228915662650599","7.446808510638291","10.58823529411764","0.0","15.625","6.06060606060606","7.07070707070707","4.05405405405405","10.52631578947368"
"InternVL3-8B","85.52631578947368","25.7","25.806451612903224","25.581395348837212","28.915662650602407","31.914893617021278","35.294117647058826","37.03703703703704","23.4375","24.242424242424242","14.646464646464647","16.216216216216218","32.89473684210527","7.6","5.3763440860215","10.46511627906976","6.02409638554216","7.446808510638291","11.76470588235294","6.1728395061728305","18.75","6.06060606060606","3.5353535353535297","2.7027027027027","13.157894736842099"
"InternVL3-9B","85.21671826625386","26.700000000000003","18.27956989247312","29.069767441860467","22.89156626506024","25.53191489361702","31.76470588235294","32.098765432098766","29.6875","24.242424242424242","26.767676767676768","16.216216216216218","38.15789473684211","8.200000000000001","3.2258064516128995","9.30232558139534","4.81927710843373","6.382978723404251","9.41176470588235","12.34567901234567","20.3125","3.03030303030303","7.575757575757571","2.7027027027027","14.473684210526311"
"InternVL3-14B","85.6811145510836","26.8","19.35483870967742","23.25581395348837","24.096385542168676","24.46808510638298","37.64705882352941","24.691358024691358","31.25","22.727272727272727","29.292929292929294","24.324324324324326","31.57894736842105","","","","","","","","","","","",""
"InternVL3-38B","89.3188854489164","26.3","21.50537634408602","23.25581395348837","25.301204819277107","20.212765957446805","35.294117647058826","33.33333333333333","39.0625","21.21212121212121","25.757575757575758","16.216216216216218","31.57894736842105","13.900000000000002","12.90322580645161","9.30232558139534","14.457831325301198","9.57446808510638","21.17647058823529","14.814814814814811","34.375","10.6060606060606","9.59595959595959","5.4054054054054","21.05263157894736"
"InternVL3-78B","89.47368421052632","28.499999999999996","34.40860215053764","12.790697674418606","26.506024096385545","23.404255319148938","37.64705882352941","32.098765432098766","37.5","19.696969696969695","29.292929292929294","28.37837837837838","31.57894736842105","14.2","13.97849462365591","8.139534883720929","15.66265060240964","11.70212765957446","17.64705882352941","12.34567901234567","31.25","6.06060606060606","12.12121212121212","9.45945945945946","23.68421052631578"
"Qwen2.5-VL-3B-Instruct","76.62538699690403","26.5","26.881720430107524","29.069767441860467","34.93975903614458","27.659574468085108","28.235294117647058","30.864197530864196","31.25","16.666666666666664","23.232323232323232","17.56756756756757","27.631578947368425","7.8","4.3010752688172","11.62790697674418","10.8433734939759","10.63829787234042","9.41176470588235","8.641975308641971","10.9375","4.54545454545454","4.54545454545454","4.05405405405405","10.52631578947368"
"Qwen2.5-VL-7B-Instruct","81.88854489164086","25.900000000000002","24.731182795698924","25.581395348837212","26.506024096385545","24.46808510638298","29.411764705882355","24.691358024691358","25.0","18.181818181818183","25.757575757575758","20.27027027027027","39.473684210526315","7.9","3.2258064516128995","10.46511627906976","4.81927710843373","9.57446808510638","15.294117647058819","3.7037037037037","12.5","3.03030303030303","8.58585858585858","1.35135135135135","13.157894736842099"
"Qwen2.5-VL-32B-Instruct","79.4891640866873","27.700000000000003","24.731182795698924","22.093023255813954","31.32530120481928","26.595744680851062","32.94117647058823","29.629629629629626","31.25","24.242424242424242","27.77777777777778","18.91891891891892","35.526315789473685","5.800000000000001","3.2258064516128995","4.65116279069767","8.43373493975903","6.382978723404251","8.23529411764705","4.9382716049382696","15.625","4.54545454545454","2.02020202020202","6.75675675675675","6.5789473684210495"
"Qwen2.5-VL-72B-Instruct","88.23529411764706","30.7","25.806451612903224","23.25581395348837","36.144578313253014","34.04255319148936","34.11764705882353","34.5679012345679","45.3125","27.27272727272727","27.27272727272727","27.027027027027028","30.263157894736842","11.600000000000001","9.67741935483871","8.139534883720929","13.253012048192769","14.89361702127659","11.76470588235294","13.58024691358024","29.6875","6.06060606060606","7.575757575757571","13.513513513513509","7.89473684210526"
"llava_onevision_qwen2_0.5b_ov","59.44272445820433","25.2","30.107526881720432","32.55813953488372","31.32530120481928","29.78723404255319","30.58823529411765","24.691358024691358","28.125","25.757575757575758","15.151515151515152","16.216216216216218","25.0","","","","","","","","","","","",""
"llava_onevision_qwen2_7b_ov","80.88235294117648","24.5","20.43010752688172","29.069767441860467","30.120481927710845","32.97872340425532","25.882352941176475","29.629629629629626","29.6875","25.757575757575758","11.616161616161616","18.91891891891892","34.21052631578947","6.800000000000001","2.1505376344086","4.65116279069767","6.02409638554216","17.02127659574468","10.58823529411764","4.9382716049382696","12.5","4.54545454545454","3.5353535353535297","4.05405405405405","9.21052631578947"
"llava_onevision_qwen2_72b_ov","85.52631578947368","28.4","43.01075268817204","30.23255813953488","38.55421686746988","31.914893617021278","37.64705882352941","33.33333333333333","28.125","19.696969696969695","15.656565656565657","13.513513513513514","32.89473684210527","","","","","","","","","","","",""
"Llama-3.2-11B-Vision-Instruct","52.32198142414861","15.7","5.376344086021505","18.6046511627907","28.915662650602407","14.893617021276595","21.176470588235293","12.345679012345679","12.5","15.151515151515152","13.636363636363635","17.56756756756757","15.789473684210526","1.0","0.0","5.81395348837209","1.20481927710843","1.0638297872340399","0.0","0.0","0.0","0.0","0.0","0.0","3.94736842105263"
"deepseek_vl2_tiny","70.97523219814241","24.0","29.03225806451613","23.25581395348837","31.32530120481928","27.659574468085108","17.647058823529413","20.98765432098765","14.0625","24.242424242424242","27.27272727272727","14.864864864864865","25.0","3.5000000000000004","6.451612903225799","2.32558139534883","2.40963855421686","6.382978723404251","1.17647058823529","0.0","4.6875","1.51515151515151","3.03030303030303","2.7027027027027","7.89473684210526"
"deepseek_vl2_small","76.78018575851394","28.599999999999998","24.731182795698924","33.72093023255814","27.710843373493976","28.723404255319153","38.82352941176471","18.51851851851852","28.125","33.33333333333333","29.797979797979796","24.324324324324326","25.0","6.6000000000000005","8.6021505376344","5.81395348837209","2.40963855421686","9.57446808510638","10.58823529411764","3.7037037037037","12.5","7.575757575757571","4.54545454545454","1.35135135135135","9.21052631578947"
"deepseek_vl2","81.73374613003097","27.1","23.655913978494624","36.04651162790697","22.89156626506024","31.914893617021278","30.58823529411765","22.22222222222222","28.125","15.151515151515152","28.28282828282828","28.37837837837838","26.31578947368421","7.1","4.3010752688172","10.46511627906976","1.20481927710843","9.57446808510638","10.58823529411764","7.4074074074074","12.5","7.575757575757571","5.55555555555555","2.7027027027027","9.21052631578947"
" gpt-4.1-2025-04-14","","","","","","","","","","","","","","","","","","","","","","","","",""
"DoubaoVL","","","","","","","","","","","","","","","","","","","","","","","","",""
